Latitude,Longitude,Altitude (MSL),Satellites,Timestamp,Accel X,Accel Y,Accel Z,Altitude (AGL),Gyro X,Gyro Y,Gyro Z
0,0,0,0,0 : 0 : 0 : 0,2.33,-0.06,-9.1,0,0,0,0
0,0,0,0,0 : 0 : 0 : 20,2.25,-1.92,-9.48,0,0,0,0
0,0,0,0,0 : 0 : 0 : 40,6.02,-4.4,-7.42,0,0,0,0
0,0,0,0,0 : 0 : 0 : 60,7.49,-3.8,-10.89,0,0,0,0
0,0,0,0,0 : 0 : 0 : 80,9.69,-2.33,-13.61,0,0,0,0
0,0,0,0,0 : 0 : 0 : 100,9.17,-1.2,-15.76,0,0,0,0
0,0,0,0,0 : 0 : 0 : 120,4.8,-4.21,-13.78,0,0,0,0
0,0,0,0,0 : 0 : 0 : 140,3.72,-6.12,-11.77,0,0,0,0
0,0,0,0,0 : 0 : 0 : 160,1.76,-7.87,-8.56,0,0,0,0
0,0,0,0,0 : 0 : 0 : 180,3.22,-8.51,-7.49,0,0,0,0
0,0,0,0,0 : 0 : 0 : 200,7.86,-7.53,-5.38,0,0,0,0
0,0,0,0,0 : 0 : 0 : 220,8.09,-6.7,-4.34,0,0,0,0
0,0,0,0,0 : 0 : 0 : 240,5.53,-6.07,-8.17,0,0,0,0
0,0,0,0,0 : 0 : 0 : 260,3.12,-5.09,-11.11,0,0,0,0
0,0,0,0,0 : 0 : 0 : 280,2.33,-6.1,-8.7,0,0,0,0
0,0,0,0,0 : 0 : 0 : 300,4.72,-7.54,-4.99,0,0,0,0
0,0,0,0,0 : 0 : 0 : 320,3.5,-4.42,-7.31,0,0,0,0
0,0,0,0,0 : 0 : 0 : 340,3.85,-5.25,-5.58,0,0,0,0
0,0,0,0,0 : 0 : 0 : 360,3.62,-6.44,-2.51,0,0,0,0
0,0,0,0,0 : 0 : 0 : 380,12.45,-29.85,30.15,0,0,0,0
0,0,0,0,0 : 0 : 0 : 400,3.27,-2.23,-1.04,0,0,0,0
0,0,0,0,0 : 0 : 0 : 420,-0.29,-0.41,0.63,0,0,0,0
0,0,0,0,0 : 0 : 0 : 440,0.07,-0.07,-0.14,0,0,0,0
0,0,0,0,0 : 0 : 0 : 460,0.02,-0.14,-0.15,0,0,0,0
0,0,0,0,0 : 0 : 0 : 480,0.05,-0.09,-0.13,0,0,0,0
0,0,0,0,0 : 0 : 0 : 500,0.02,-0.16,-0.11,0,0,0,0
0,0,0,0,0 : 0 : 0 : 520,-1.77,-0.17,-0.21,0,0,0,0
0,0,0,0,0 : 0 : 0 : 540,0.08,-0.22,-0.16,0,0,0,0
0,0,0,0,0 : 0 : 0 : 560,0.06,-0.18,-0.1,0,0,0,0
0,0,0,0,0 : 0 : 0 : 580,0.04,-0.24,-0.13,0,0,0,0
0,0,0,0,0 : 0 : 0 : 600,0,-0.29,-0.14,0,0,0,0
0,0,0,0,0 : 0 : 0 : 620,0.07,-0.32,-0.11,0,0,0,0
0,0,0,0,0 : 0 : 0 : 640,0.05,-0.42,-0.06,0,0,0,0
0,0,0,0,0 : 0 : 0 : 660,0.06,-0.48,-0.05,0,0,0,0
0,0,0,0,0 : 0 : 0 : 680,0.03,-0.49,-0.04,0,0,0,0
0,0,0,0,0 : 0 : 0 : 700,0.02,-0.54,0.09,0,0,0,0
0,0,0,0,0 : 0 : 0 : 720,-0.04,-0.55,0.11,0,0,0,0
0,0,0,0,0 : 0 : 0 : 740,-0.01,-0.6,0.22,0,0,0,0
0,0,0,0,0 : 0 : 0 : 760,0,-0.58,0.22,0,0,0,0
